idx,Bstart [%],Bend [%],Vload [CV],Yield [%],Purity [%],Prod [g/(l*CV)],tretA [CV],tretBC [CV],tretD [CV],peakwidthA [CV],peakwidthBC [CV],peakwidthD [CV],assymetryA [-],assymetryBC [-],assymetryD [-],poolVolume [CV],poolConcBC [g/l],poolConcSalt [M],cut1 [CV],cut2 [CV]
639,35.6,38.1,7.5,45.74,95.0,0.4,35.8,13.9,12.25,14.92,5.8,1.86,1.39,2.03,1.8,13.24,0.86,0.15,15.54,28.78
640,3.1,87.3,9.5,88.18,95.0,0.74,38.71,31.01,28.0,3.61,4.42,3.21,1.33,2.16,1.07,7.42,3.76,0.16,30.04,37.46
641,24.7,51.3,5.4,96.14,95.0,0.45,40.55,23.42,17.2,6.98,6.86,4.22,1.23,2.02,1.39,17.39,0.98,0.15,20.73,38.12
642,26.9,2.1,9.7,6.27,95.0,0.03,61.64,61.56,18.39,0.46,0.36,5.1,2.15,2.2,2.12,0.14,14.5,0.14,61.33,61.47
643,11.2,18.2,1.1,0.0,0.0,0.0,53.1,53.04,53.01,0.48,0.41,0.31,1.96,2.09,2.14,0,0.0,nan,0,0
644,12.5,81.7,0.4,61.44,95.0,0.03,29.3,23.21,20.08,3.75,3.25,3.4,1.0,1.24,1.04,4.38,0.18,0.16,22.99,27.37
645,4.8,69.9,2.0,78.21,95.0,0.15,37.75,30.85,27.26,3.93,3.47,3.61,1.19,1.29,1.0,6.11,0.86,0.16,30.01,36.12
646,0.9,59.9,5.8,91.83,95.0,0.39,47.22,37.88,33.39,4.28,4.45,4.18,1.06,1.74,1.25,9.15,1.93,0.16,36.38,45.53
647,26.1,70.3,1.1,67.4,95.0,0.1,26.23,17.42,13.75,4.86,4.17,3.65,1.13,1.19,1.03,7.11,0.35,0.16,16.84,23.96
648,43.5,71.7,0.5,1.8,99.0,0.01,10.74,5.4,5.95,4.93,2.97,2.5,1.14,1.21,1.28,1.08,0.03,0.16,2.38,3.46
649,6.2,49.4,5.1,98.35,95.0,0.33,52.54,40.61,33.71,5.13,5.31,5.04,1.1,1.71,1.26,12.88,1.28,0.16,37.77,50.64
650,14.0,12.2,4.1,0.0,0.0,0.0,56.1,56.04,56.01,0.47,0.4,0.29,2.02,2.05,1.72,0,0.0,nan,0,0
651,6.8,59.2,8.6,96.92,95.0,0.6,48.03,36.18,30.4,4.76,6.01,4.99,1.14,2.6,1.79,12.07,2.29,0.16,34.26,46.33
652,7.4,57.3,7.5,96.98,95.0,0.52,48.03,36.36,30.5,4.82,5.71,4.92,1.2,2.25,1.5,12.08,1.99,0.16,34.28,46.36
