idx,Bstart [%],Bend [%],Vload [CV],Yield [%],Purity [%],Prod [g/(l*CV)],tretA [CV],tretBC [CV],tretD [CV],peakwidthA [CV],peakwidthBC [CV],peakwidthD [CV],assymetryA [-],assymetryBC [-],assymetryD [-],poolVolume [CV],poolConcBC [g/l],poolConcSalt [M],cut1 [CV],cut2 [CV]
782,2.0,4.0,1.7,0.0,0.0,0.0,53.67,53.64,53.67,0.46,0.4,0.36,2.42,1.96,1.96,0,0.0,nan,0,0
783,9.9,30.3,3.9,86.94,95.0,0.2,55.79,55.67,20.31,0.46,0.37,10.98,2.27,2.03,3.55,20.3,0.55,0.13,35.45,55.75
784,2.0,31.1,6.4,91.39,95.0,0.33,58.3,58.22,6.67,0.45,0.38,0.74,2.78,1.91,1.63,36.28,0.54,0.11,22.0,58.28
785,9.0,83.9,5.7,99.53,95.0,0.62,32.19,22.81,6.42,5.0,12.68,2.58,1.37,0.61,22.24,16.47,1.15,0.14,14.13,30.6
786,35.8,25.5,4.4,55.83,95.0,0.32,56.27,6.71,6.63,0.42,2.95,0.57,2.31,12.04,2.91,16.79,0.48,0.14,8.52,25.31
787,34.2,34.9,0.1,63.28,95.0,0.01,51.93,15.73,10.48,0.41,8.32,4.58,2.51,1.14,1.11,23.28,0.01,0.14,14.98,38.26
788,41.7,77.6,2.9,0.0,0.0,0.0,12.05,5.68,5.68,5.43,2.05,1.05,1.13,3.45,2.01,0,0.0,nan,0,0
789,2.1,85.4,6.1,99.52,95.0,0.61,34.5,25.97,6.58,4.81,12.49,0.43,1.35,0.55,1.24,16.79,1.2,0.14,16.15,32.94
790,2.4,24.4,1.2,0.0,0.0,0.0,53.16,53.08,53.03,0.47,0.39,0.29,2.12,2.4,1.46,0,0.0,nan,0,0
791,39.6,21.0,9.2,0.0,0.0,0.0,61.01,11.09,6.66,0.41,0.54,1.13,2.6,2.16,3.14,0,0.0,nan,0,0
792,37.5,8.6,7.0,70.56,95.0,0.83,58.88,8.9,6.66,0.42,0.56,1.12,2.57,2.7,3.13,10.67,1.53,0.14,9.05,19.72
